pin,slack
neorv32_ProcessorTop_Minimal_0/neorv32_inst/core_complex.neorv32_cpu_inst/neorv32_cpu_control_inst/csr_read_reg.csr.rdata_6_1_iv_1[0]:Y,91172
neorv32_ProcessorTop_Minimal_0/neorv32_inst/core_complex.neorv32_cpu_inst/neorv32_cpu_alu_inst/res_o_6_2_0_0[25]:A,92985
neorv32_ProcessorTop_Minimal_0/neorv32_inst/core_complex.neorv32_cpu_inst/neorv32_cpu_alu_inst/res_o_6_2_0_0[25]:B,92694
neorv32_ProcessorTop_Minimal_0/neorv32_inst/core_complex.neorv32_cpu_inst/neorv32_cpu_alu_inst/res_o_6_2_0_0[25]:C,91200
neorv32_ProcessorTop_Minimal_0/neorv32_inst/core_complex.neorv32_cpu_inst/neorv32_cpu_alu_inst/res_o_6_2_0_0[25]:Y,91200
neorv32_ProcessorTop_Minimal_0/neorv32_inst/memory_system.neorv32_wishbone_inst_true.neorv32_wishbone_inst/ctrl.rdat[24]:ALn,46834
neorv32_ProcessorTop_Minimal_0/neorv32_inst/memory_system.neorv32_wishbone_inst_true.neorv32_wishbone_inst/ctrl.rdat[24]:CLK,93105
neorv32_ProcessorTop_Minimal_0/neorv32_inst/memory_system.neorv32_wishbone_inst_true.neorv32_wishbone_inst/ctrl.rdat[24]:D,94730
neorv32_ProcessorTop_Minimal_0/neorv32_inst/memory_system.neorv32_wishbone_inst_true.neorv32_wishbone_inst/ctrl.rdat[24]:Q,93105
neorv32_ProcessorTop_Minimal_0/neorv32_inst/memory_system.neorv32_wishbone_inst_true.neorv32_wishbone_inst/ctrl.rdat[24]:SLn,96905
neorv32_ProcessorTop_Minimal_0/neorv32_inst/core_complex.neorv32_cpu_inst/neorv32_cpu_control_inst/cnt.hi_2_RNIR1K84[21]:B,96151
neorv32_ProcessorTop_Minimal_0/neorv32_inst/core_complex.neorv32_cpu_inst/neorv32_cpu_control_inst/cnt.hi_2_RNIR1K84[21]:FCI,95744
neorv32_ProcessorTop_Minimal_0/neorv32_inst/core_complex.neorv32_cpu_inst/neorv32_cpu_control_inst/cnt.hi_2_RNIR1K84[21]:FCO,95744
neorv32_ProcessorTop_Minimal_0/neorv32_inst/core_complex.neorv32_cpu_inst/neorv32_cpu_control_inst/cnt.hi_2_RNIR1K84[21]:S,95934
