Library, Design Unit ,Compile time , Hardware Gen ,Optimization Stg1 ,Optimization Stg2 , Peak Mem Usage, Incr Mem Usage, Hardware Gen ,Optimization Stg1 ,Optimization Stg2
neorv32 , Entity: neorv32_cpu_control Architecture: neorv32_cpu_control_rtl,0h:00m:01s,0h:00m:00s,0h:00m:00s,0h:00m:01s,   239 MB,    40 MB,     2 MB,    13 MB,    25 MB
